codi_districte;nom_districte;codi_barri;nom_barri;Barrio turístico en 2023;805_Eco_Individual income;852_Eco_Individual income;582_Eco_Occupation;822_Eco_Occupation;1014_Eco_Occupation;283_Eco_Occupation;43_Eco_Tourism development;279_Eco_;523_Eco_;671_Inf_Education;809_Inf_Education;744_Inf_Education;974_Inf_Education;10_Healthcare;642_Healthcare;257_Healthcare;902_Healthcare;148_Housing;465_Housing;674_Housing;477_Housing;139_Housing;866_Housing;653_Housing;569_Inf_Leisure and cultural activities;198_Inf_Leisure and cultural activities;479_Inf_Noise;1041_Inf_Security and safety;30_Inf_Water consumption;989_Mob_;361_Mob_;515_Mob_;9_Soc_Cultural diversity and identity;329_Soc_Cultural diversity and identity;670_Soc_Cultural diversity and identity;123_Soc_Demographics;589_Soc_Density of social relations;331_Soc_Equality and diversity;799_Soc_Public participation and trust in institutions;565_Soc_Social participation;348_Urb_Population density;265_Urb_;534_Urb_;877_Urb_Air quality;484_Urb_Nature-based assets;633_Urb_Nature-based assets;Satisfacción_Barrio
1;Ciutat Vella;1;el Raval;Yes;12512,12;39,3;53;13,8;1159,45;49,11;212;4,68;2179;64,32;19;125601;31,8;81,26;3;33;6,5;115,2;39,56;15,89;64,76;2,67;3204,91;62,61;2538185;1,09;57,25;4,44;101,37;21,43;262,09;1677;50,96;21,43;61,9;37,13;13,63;9,16;15,47;343;981,61;2455;68,71;5926;0;0,98;5,88
1;Ciutat Vella;2;el Barri Gòtic;Yes;17110,04;22,7;41,2;10,8;341,62;47,17;201;6,72;1528;72,13;22,6;61641;37,1;82,75;1;20;3,7;124,08;38,68;16,44;85,54;2,33;3946,86;72,23;3187146;1,8;53,76;5,18;123,29;17,53;440,47;623;65,72;20,78;72,32;35,42;11,03;4,95;15,91;231;670,09;1791;66,98;5479;0;0;6,71
1;Ciutat Vella;3;la Barceloneta;Yes;16636,38;18,9;56,4;10;302,26;52,5;64;3,8;545;73,99;15,4;45387;17,6;81,08;3;9;4,4;86,85;43,88;18,98;57,91;2,05;4264,59;73,15;129869;1,24;80,06;4,68;95,89;14,29;414,11;1198;42,1;18,83;49,74;39,71;21,26;10,51;14,12;64;1120,37;1161;53,06;3274;2,98;0,46;7,4
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Yes;17897,21;18,6;57;7,6;459,71;52,31;171;6,95;1559;77,19;10,8;132903;13,8;83,51;1;23;7,8;111,18;40,32;17,41;71,97;2,16;4212,73;71,86;3724982;1,76;56,3;3,99;109,59;14,94;594,26;1108;46,63;14,94;55,51;37,93;19,38;7,97;13,12;235;710,15;2035;44,75;9410;11,52;1,47;6,53
2;Eixample;6;la Sagrada Família;Yes;22179,72;14,4;65,3;5,4;655,55;55,15;750;3,97;2040;78,4;10,5;302860;10,7;84,64;2;27;2,3;65,78;58,99;16,7;70,16;2,34;4125,33;87,15;4707367;0,77;76,28;5,99;101,37;5,84;434,02;3665;26,11;43,51;35,05;43,71;14,3;8,5;9,22;97;1022,82;2410;55,12;13528;0,14;0,36;7,6
2;Eixample;10;Sant Antoni;Yes;22218,25;14,1;65,4;5,4;501,36;53,29;567;4,93;1881;77,11;10,8;105494;12,5;85,61;2;30;2,1;79,68;56,18;15,87;76,17;2,34;4269,36;86,98;0;1,06;65,89;5,85;106,85;5,84;411,95;2501;26,45;40,26;34,54;43,64;14,65;8,67;9,11;105;937,05;1696;57,27;9106;0;0;7,77
3;Sants-Montjuïc;11;el Poble-sec;Yes;16699,9;21,2;60,4;9,9;715,41;52,71;513;2,84;1112;70,54;14,8;61401;21;82,95;1;16;3,1;82,6;54,76;16;61,16;2,42;3663,73;89,3;3598663;0,72;58,23;5,44;95,89;16,23;369,8;3131;34,64;29,22;45,29;41,53;14,43;9,84;11,81;211;1055,22;2433;23,59;7701;14,75;1,48;7,29
6;Gràcia;30;la Salut;Yes;24639,6;7,7;67,6;4;183,44;53,86;37;2,71;362;76,44;8,3;0;9,4;83,19;5;10;3,3;54,43;63,13;15,34;72,45;2,43;3478,51;96,4;4747721;0,32;76,98;6,33;106,85;36,36;523,68;792;17,93;56,36;23,52;44,77;13,48;9,44;8,74;39;690;747;51;4270;19,03;2,25;7,93
6;Gràcia;31;la Vila de Gràcia;Yes;23437,22;9,1;66,9;4;607,83;55,08;762;6,41;3197;78,69;8,4;232906;8,2;85,07;3;47;3;83,36;50,49;17,48;68,49;2,19;4574,54;89,27;397459;1;60,15;6,71;104,11;19,48;439,92;2020;26,29;53,9;32,29;41,36;17,92;7,81;8,71;337;600,67;4833;72,01;12434;0;0,05;7,97
10;Sant Martí;67;la Vila Olímpica del Poblenou;Yes;30152,32;6,4;64;1,9;144,65;53,34;105;3,98;373;79,31;4,8;67949;6,2;86,21;1;9;1,3;35,18;66,84;20,38;81,47;2,61;4924,73;97,81;136362;0,99;64,11;5,61;120,55;10,53;599,38;1045;22,33;45,61;27,67;44,73;9,71;5,88;6,65;25;386,63;415;50,68;3536;9,14;1,25;8,39
10;Sant Martí;68;el Poblenou;Yes;22484,05;9,2;68,7;4,4;532,28;53,8;422;4,06;1386;72,52;10,8;157851;12,5;84,21;1;24;2,1;61,02;64,11;17,78;68,26;2,44;4052,49;86,83;433720;0,79;62,62;6,14;101,37;14,29;480,6;2758;23,6;41,96;28,76;43,21;12,34;8,41;8,7;127;764,69;2375;54,36;10373;2,9;0,91;8,06
