"codi_barri";"nom_barri";"Barrio.turístico.en.2023";"satisfaction";"Economic";"Healthcare";"Housing";"Infrastructure";"Mobility";"Social";"Urban"
1;"el Raval";"Yes";5,88;-0,891446092271536;0,465867064194353;-1,01384797836921;-0,124344539468365;0,0819123927289001;-0,530477994266039;0,566365128334512
2;"el Barri Gòtic";"Yes";6,71;-0,321052793589673;-0,218270771857943;-0,48646204646979;0,164321167546922;-0,160304877123802;-0,84693216110669;0,611287201921999
3;"la Barceloneta";"Yes";7,4;-0,278676032814428;-0,340763887522277;-0,796198788503827;0,115439257697335;0,106680624924584;-0,951788475136051;-0,587014569665502
4;"Sant Pere, Santa Caterina i la Ribera";"Yes";6,53;0,0763991361924906;0,496437013455872;-0,647801929823299;1,07110929065812;0,00798799379238779;-0,545980329386836;0,507372831806829
6;"la Sagrada Família";"Yes";7,6;-0,0049028449113202;0,0956696692458552;-0,22035087125943;0,947942790535221;1,05377312867597;0,560687118832232;0,394564922003785
10;"Sant Antoni";"Yes";7,77;0,208820045490159;0,25622133096037;-0,165369232311827;0,359852050417182;0,726660893951203;0,50807990762211;0,273044825930739
11;"el Poble-sec";"Yes";7,29;-0,548289937949215;-0,356829571500162;-0,376953313521103;0,599974286289729;0,61773981331431;-0,00386666153249016;-0,00782572219603139
30;"la Salut";"Yes";7,93;0,42385378218223;0,0308740274444607;0,11214743650005;1,19145865911208;-0,684427749556933;0,861956855123164;-0,354660791961902
31;"la Vila de Gràcia";"Yes";7,97;0,551101415067658;0,775700916314942;-0,4007956799525;0,687457977666115;0,183675632599722;1,40897874449648;1,64951189408995
67;"la Vila Olímpica del Poblenou";"Yes";8,39;0,601546029935296;-0,325257084391777;-0,275632223365535;0,809970213626323;0,116649145060635;0,882858677013594;-0,0576593488086818
68;"el Poblenou";"Yes";8,06;0,319693400203212;-0,16293181352089;-0,264875354096728;0,399715392556096;0,534017293670017;0,664142499091488;0,612833168193038
5;"el Fort Pienc";"No";7,63;0,10319186798653;-0,256951687221266;-0,037203854284386;0,357694503548624;0,643914146144759;0,435793084238806;-0,260489365217686
7;"la Dreta de l'Eixample";"No";8,05;0,380895228275501;0,805894883704741;-0,0392199541178304;1,49005637644254;1,45337459932267;1,18384749276241;1,14213938178275
8;"l'Antiga Esquerra de l'Eixample";"No";7,66;0,513328985646451;0,676003527985671;-0,16311199194959;0,768921117715773;0,791603123392615;0,624663131982465;0,494864284479883
9;"la Nova Esquerra de l'Eixample";"No";7,64;0,227239114609342;0,692993006214514;-0,16529821049315;0,645207206933939;0,853581567449812;0,93162617158847;0,773823077971665
12;"la Marina del Prat Vermell";"No";7,14;0,306972253823611;-0,341921368352614;-0,117593839703272;-0,916538767445863;-3,94887337121045;-1,92839108126535;0,715129445193144
13;"la Marina de Port";"No";7,27;-0,423229581994644;0,430097092536706;0,450369212040872;0,102905714605526;-0,181702548246757;-0,423763969118908;-0,0583146778628314
14;"la Font de la Guatlla";"No";7,8;-0,0522426302189354;-0,614898700254259;0,037278300246115;0,0690100185418884;-0,0990489697283776;0,184686487413725;-0,688926271980536
15;"Hostafrancs";"No";7;-0,00535999338368768;-0,402013833771406;-0,157978943994719;0,0660782832629709;0,366969983396879;0,164677378980199;-0,0440256623083376
16;"la Bordeta";"No";7,35;0,0770273250183983;-0,18390649223385;-0,119608673949447;-0,192348104992271;-0,0254796596334284;0,607551457349364;-0,346023791583791
17;"Sants - Badal";"No";6,98;-0,115151818251451;-0,135810954883265;-0,0435892666479106;-0,228651882171161;0,358248316911901;0,226694337396506;0,220628212647218
18;"Sants";"No";7,89;0,0744221357052886;0,615511037384241;-0,201382938728189;0,0657221436105356;0,323541768168607;0,740440250210104;0,942661627632664
19;"les Corts";"No";7,85;0,601249728830456;0,699886257555189;0,00271275759593646;0,644926399798023;0,760704288023681;0,954125261490745;0,686173019884036
20;"la Maternitat i Sant Ramon";"No";7,84;0,339561147592582;0,307743864976813;0,176385268351858;0,316481669360221;0,4134105726056;0,781669592201239;0,203012750877922
21;"Pedralbes";"No";7,93;0,530905785166485;-0,351616897251044;0,194964835429296;0,471819772550905;-0,137862497686896;0,380303661431295;-0,206389346101589
22;"Vallvidrera, el Tibidabo i les Planes";"No";7,88;0,500159996495785;-0,673740181837634;0,0697368833568859;-0,00958145165817583;-1,5324551705842;-0,274801155277894;0,307243654697852
23;"Sarrià";"No";7,82;0,866442540428845;0,465167172984295;-0,636400234332573;0,336708430646067;-0,141436058501827;1,00598738855925;0,683956408012662
24;"les Tres Torres";"No";7,38;0,915029361056179;0,391129364870801;-0,164453399867001;0,167571463632307;-0,40007012677765;0,5580254528133;0,309577603004864
25;"Sant Gervasi - la Bonanova";"No";7,77;0,869330456122467;0,536343454907194;-0,297021531302986;0,67847843937121;-0,0788511033551576;0,253851232554621;0,693314825094334
26;"Sant Gervasi - Galvany";"No";7,76;1,00664942358878;1,44003371651453;-0,0828770486411108;0,601916385772544;0,609014788788584;0,868366401708132;1,31749194491383
