"ECON","HLTH","HOUS","INFR","MOBI","SOCI","URBN","OUT","n","incl","PRI","cases"
0,0,0,0,0,0,0,"0",1,"0.428320016837445","0.15043960389806","52"
0,0,0,0,0,0,1,"?",0,"-","-",""
0,0,0,0,0,1,0,"0",1,"0.789441202845448","0.531992874598414","36"
0,0,0,0,0,1,1,"?",0,"-","-",""
0,0,0,0,1,0,0,"0",1,"0.358275496282546","0.0739970708468516","48"
0,0,0,0,1,0,1,"0",1,"0.403298025740904","0.057239699028159","21"
0,0,0,0,1,1,0,"?",0,"-","-",""
0,0,0,0,1,1,1,"?",0,"-","-",""
0,0,0,1,0,0,0,"0",1,"0.76219344735916","0.411384085786866","3"
0,0,0,1,0,0,1,"0",1,"0.555154180267445","0.093291396317573","2"
0,0,0,1,0,1,0,"?",0,"-","-",""
0,0,0,1,0,1,1,"?",0,"-","-",""
0,0,0,1,1,0,0,"0",1,"0.560253660816714","0.167007364004094","19"
0,0,0,1,1,0,1,"0",1,"0.522952911557076","0.1103170875453","7"
0,0,0,1,1,1,0,"?",0,"-","-",""
0,0,0,1,1,1,1,"?",0,"-","-",""
0,0,1,0,0,0,0,"0",6,"0.561799355184498","0.431898810459065","41,51,55,56,58,60"
0,0,1,0,0,0,1,"0",2,"0.658944080098058","0.326611147785496","54,61"
0,0,1,0,0,1,0,"1",1,"0.952607670769534","0.832452429260188","33"
0,0,1,0,0,1,1,"?",0,"-","-",""
0,0,1,0,1,0,0,"0",3,"0.681229642073374","0.343362672918188","47,50,71"
0,0,1,0,1,0,1,"?",0,"-","-",""
0,0,1,0,1,1,0,"?",0,"-","-",""
0,0,1,0,1,1,1,"?",0,"-","-",""
0,0,1,1,0,0,0,"1",1,"0.963182139431512","0.898591995435542","18"
0,0,1,1,0,0,1,"?",0,"-","-",""
0,0,1,1,0,1,0,"?",0,"-","-",""
0,0,1,1,0,1,1,"?",0,"-","-",""
0,0,1,1,1,0,0,"?",0,"-","-",""
0,0,1,1,1,0,1,"?",0,"-","-",""
0,0,1,1,1,1,0,"?",0,"-","-",""
0,0,1,1,1,1,1,"?",0,"-","-",""
0,1,0,0,0,0,0,"0",2,"0.346949797927729","0.0678933114362069","49,59"
0,1,0,0,0,0,1,"0",1,"0.44040887986775","0.0541202179506814","1"
0,1,0,0,0,1,0,"?",0,"-","-",""
0,1,0,0,0,1,1,"?",0,"-","-",""
0,1,0,0,1,0,0,"0",1,"0.507790855586074","0.182041112144318","70"
0,1,0,0,1,0,1,"?",0,"-","-",""
0,1,0,0,1,1,0,"?",0,"-","-",""
0,1,0,0,1,1,1,"?",0,"-","-",""
0,1,0,1,0,0,0,"?",0,"-","-",""
0,1,0,1,0,0,1,"?",0,"-","-",""
