"ECON","HLTH","HOUS","INFR","MOBI","SOCI","URBN","OUT","n","incl","PRI","cases"
0,0,0,0,0,0,0,"1",1,"0.903365793478496","0.851570682293124","52"
0,0,0,0,0,0,1,"?",0,"-","-",""
0,0,0,0,0,1,0,"0",1,"0.776902219133791","0.48103391449705","36"
0,0,0,0,0,1,1,"?",0,"-","-",""
0,0,0,0,1,0,0,"1",1,"0.956427703542468","0.936592158935679","48"
0,0,0,0,1,0,1,"1",1,"0.969857459868588","0.947552958937738","21"
0,0,0,0,1,1,0,"?",0,"-","-",""
0,0,0,0,1,1,1,"?",0,"-","-",""
0,0,0,1,0,0,0,"1",1,"0.860995111889373","0.653947620673212","3"
0,0,0,1,0,0,1,"1",1,"0.966232500702947","0.933643702631844","2"
0,0,0,1,0,1,0,"?",0,"-","-",""
0,0,0,1,0,1,1,"?",0,"-","-",""
0,0,0,1,1,0,0,"?",0,"-","-",""
0,0,0,1,1,0,1,"1",2,"0.949024431639069","0.900849072648207","7,19"
0,0,0,1,1,1,0,"?",0,"-","-",""
0,0,0,1,1,1,1,"?",0,"-","-",""
0,0,1,0,0,0,0,"0",6,"0.673766433276484","0.571606185292138","41,51,55,56,58,60"
0,0,1,0,0,0,1,"1",2,"0.810678048390672","0.640155100810818","54,61"
0,0,1,0,0,1,0,"?",0,"-","-",""
0,0,1,0,0,1,1,"?",0,"-","-",""
0,0,1,0,1,0,0,"1",3,"0.825532693998672","0.627439626436179","47,50,71"
0,0,1,0,1,0,1,"?",0,"-","-",""
0,0,1,0,1,1,0,"?",0,"-","-",""
0,0,1,0,1,1,1,"?",0,"-","-",""
0,0,1,1,0,0,0,"0",1,"0.719579459517886","0.140409841007922","18"
0,0,1,1,0,0,1,"?",0,"-","-",""
0,0,1,1,0,1,0,"1",1,"0.801637666289143","0.177444436931856","33"
0,0,1,1,0,1,1,"?",0,"-","-",""
0,0,1,1,1,0,0,"?",0,"-","-",""
0,0,1,1,1,0,1,"?",0,"-","-",""
0,0,1,1,1,1,0,"?",0,"-","-",""
0,0,1,1,1,1,1,"?",0,"-","-",""
0,1,0,0,0,0,0,"1",2,"0.953417971769346","0.931953912248912","49,59"
0,1,0,0,0,0,1,"1",1,"0.966893062851371","0.947260630842782","1"
0,1,0,0,0,1,0,"?",0,"-","-",""
0,1,0,0,0,1,1,"?",0,"-","-",""
0,1,0,0,1,0,0,"1",1,"0.888301204762204","0.806179629939427","70"
0,1,0,0,1,0,1,"?",0,"-","-",""
0,1,0,0,1,1,0,"?",0,"-","-",""
0,1,0,0,1,1,1,"?",0,"-","-",""
0,1,0,1,0,0,0,"?",0,"-","-",""
0,1,0,1,0,0,1,"?",0,"-","-",""
0,1,0,1,0,1,0,"?",0,"-","-",""
0,1,0,1,0,1,1,"?",0,"-","-",""
0,1,0,1,1,0,0,"?",0,"-","-",""
0,1,0,1,1,0,1,"?",0,"-","-",""
0,1,0,1,1,1,0,"?",0,"-","-",""
0,1,0,1,1,1,1,"0",2,"0.79729475120508","0.533761165574367","5,66"
0,1,1,0,0,0,0,"1",3,"0.932450179171687","0.891582911179654","40,53,57"
0,1,1,0,0,0,1,"?",0,"-","-",""
0,1,1,0,0,1,0,"?",0,"-","-",""
0,1,1,0,0,1,1,"?",0,"-","-",""
0,1,1,0,1,0,0,"0",2,"0.650417425356291","0.298820513816714","72,73"
0,1,1,0,1,0,1,"1",1,"0.891157511797593","0.769603504458295","46"
0,1,1,0,1,1,0,"0",1,"0.721008096515939","0.202176696813044","63"
0,1,1,0,1,1,1,"?",0,"-","-",""
0,1,1,1,0,0,0,"?",0,"-","-",""
0,1,1,1,0,0,1,"1",1,"0.921047528044436","0.83469939634823","17"
0,1,1,1,0,1,0,"?",0,"-","-",""
0,1,1,1,0,1,1,"?",0,"-","-",""
0,1,1,1,1,0,0,"?",0,"-","-",""
0,1,1,1,1,0,1,"1",1,"0.825691695891495","0.5574276542442","39"
0,1,1,1,1,1,0,"?",0,"-","-",""
0,1,1,1,1,1,1,"?",0,"-","-",""
1,0,0,0,0,0,0,"?",0,"-","-",""
1,0,0,0,0,0,1,"1",1,"0.856583239025222","0.740383391566717","16"
1,0,0,0,0,1,0,"1",1,"0.802487807786383","0.501777721187948","20"
1,0,0,0,0,1,1,"?",0,"-","-",""
1,0,0,0,1,0,0,"?",0,"-","-",""
1,0,0,0,1,0,1,"?",0,"-","-",""
1,0,0,0,1,1,0,"?",0,"-","-",""
1,0,0,0,1,1,1,"?",0,"-","-",""
1,0,0,1,0,0,0,"?",0,"-","-",""
1,0,0,1,0,0,1,"?",0,"-","-",""
1,0,0,1,0,1,0,"?",0,"-","-",""
1,0,0,1,0,1,1,"?",0,"-","-",""
1,0,0,1,1,0,0,"?",0,"-","-",""
1,0,0,1,1,0,1,"?",0,"-","-",""
1,0,0,1,1,1,0,"0",3,"0.573222137305521","0.312528269801463","12,68,69"
1,0,0,1,1,1,1,"0",2,"0.488462046950198","0.199328708465213","10,11"
1,0,1,0,0,0,0,"0",1,"0.560361387842363","0.0562781992886894","42"
1,0,1,0,0,0,1,"0",1,"0.712150247917059","0.210318239410133","26"
1,0,1,0,0,1,0,"0",1,"0.665386201404827","0.0950000133245874","43"
1,0,1,0,0,1,1,"0",2,"0.582996186818674","0.0989131462374984","38,64"
1,0,1,0,1,0,0,"?",0,"-","-",""
1,0,1,0,1,0,1,"?",0,"-","-",""
1,0,1,0,1,1,0,"1",1,"0.836374276076217","0.390913079773483","65"
1,0,1,0,1,1,1,"?",0,"-","-",""
1,0,1,1,0,0,0,"?",0,"-","-",""
1,0,1,1,0,0,1,"?",0,"-","-",""
1,0,1,1,0,1,0,"0",2,"0.638807605550764","0.165004619922877","25,35"
1,0,1,1,0,1,1,"?",0,"-","-",""
1,0,1,1,1,0,0,"?",0,"-","-",""
1,0,1,1,1,0,1,"?",0,"-","-",""
1,0,1,1,1,1,0,"?",0,"-","-",""
1,0,1,1,1,1,1,"?",0,"-","-",""
1,1,0,0,0,0,0,"?",0,"-","-",""
1,1,0,0,0,0,1,"?",0,"-","-",""
1,1,0,0,0,1,0,"0",1,"0.613629506560505","0.259609679640958","44"
1,1,0,0,0,1,1,"?",0,"-","-",""
1,1,0,0,1,0,0,"?",0,"-","-",""
1,1,0,0,1,0,1,"?",0,"-","-",""
1,1,0,0,1,1,0,"?",0,"-","-",""
1,1,0,0,1,1,1,"?",0,"-","-",""
1,1,0,1,0,0,0,"?",0,"-","-",""
1,1,0,1,0,0,1,"1",2,"0.85205766583469","0.665921017776556","4,29"
1,1,0,1,0,1,0,"?",0,"-","-",""
1,1,0,1,0,1,1,"0",2,"0.576202655513983","0.29758461404747","27,28"
1,1,0,1,1,0,0,"?",0,"-","-",""
1,1,0,1,1,0,1,"?",0,"-","-",""
1,1,0,1,1,1,0,"?",0,"-","-",""
1,1,0,1,1,1,1,"0",10,"0.448896731585811","0.136249339972955","6,9,13,14,15,22,30,31,32,34"
1,1,1,0,0,0,0,"?",0,"-","-",""
1,1,1,0,0,0,1,"?",0,"-","-",""
1,1,1,0,0,1,0,"?",0,"-","-",""
